first_word,first_code_emoji,first_code,assigned_second_guess,max_num_second_word_in_strategy,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
CRANE,🟨⬛⬛🟨🟩,10012,SOLID,8,False,11,0.0048,0.6923,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛⬛⬛,11000,SOUTH,8,False,11,0.0048,0.9867,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛⬛🟨,20001,TOILS,8,False,11,0.0048,0.9319,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛⬛🟩,20002,SOLID,8,False,11,0.0048,1.0414,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟩🟨,00021,DEIST,8,False,10,0.0043,0.9398,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨🟨⬛,01110,SOLID,8,False,10,0.0043,0.7592,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛⬛🟨,11001,SOUTH,8,False,10,0.0043,0.7967,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛⬛🟨,22001,TOILS,8,False,10,0.0043,0.7967,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩⬛🟨,01201,BETEL,8,False,9,0.0039,0.6198,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟨⬛🟨,02101,DEIST,8,False,9,0.0039,0.6614,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛⬛🟩,10002,POUTS,8,False,9,0.0039,0.9542,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨⬛⬛⬛,21000,TOILS,8,False,9,0.0039,0.8205,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩🟨⬛,00210,SPILT,8,False,8,0.0035,0.8278,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨⬛🟩,01102,TOILS,8,False,8,0.0035,0.7242,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛🟨⬛,20010,SOLID,8,False,8,0.0035,0.8278,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨🟨⬛⬛,21100,BIGOT,8,False,8,0.0035,0.9031,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩⬛🟩,01202,SPILT,8,False,7,0.0030,0.6406,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟩🟨⬛,02210,BIGOT,8,False,7,0.0030,0.7591,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟨⬛⬛,11100,TOILS,8,False,7,0.0030,0.6731,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨⬛🟨,20101,BETEL,8,False,7,0.0030,0.7591,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨⬛⬛🟨,21001,TOILS,8,False,7,0.0030,0.5546,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟩⬛⬛,22200,SPILT,8,False,7,0.0030,0.6731,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟨🟩,00112,BIGOT,8,False,6,0.0026,0.6778,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟩🟩⬛,02220,DEIST,8,False,6,0.0026,0.5775,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨⬛🟨,10101,SOLID,8,False,6,0.0026,0.6778,"spilt,solid,deist,betel,bigot,south,toils,pouts"
